Primary permanent 

Type,Code,Color
NATURAL,1.00,NATURAL BLACK
NATURAL,2.00,NATURAL VERY DARK BROWN
NATURAL,3.00,NATURAL DARK BROWN
NATURAL,4.00,NATURAL MEDIUM BROWN
NATURAL,5.00,NATURAL LIGHT BROWN
NATURAL,6.00,NATURAL DARK BLONDE
NATURAL,7.00,NATURAL MEDIUM BLONDE
NATURAL,8.00,NATURAL LIGHT BLONDE
NATURAL,9.00,NATURAL VERY LIGHT BLONDE
NATURAL,10.00,NATURAL LIGHTEST BLONDE
INTENSE NATURAL,3.00,INTENSE NATURAL DARK BROWN
INTENSE NATURAL,5.00,INTENSE NATURAL LIGHT BROWN
INTENSE NATURAL,7.00,INTENSE NATURAL MEDIUM BLONDE
INTENSE NATURAL,9.00,INTENSE NATURAL VERY LIGHT BLONDE
METALLIC BLONDE,6.101,DARK METALLIC BLONDE
METALLIC BLONDE,8.101,LIGHT METALLIC
METALLIC BLONDE,10.101,LIGHTEST METALLIC BLONDE
